code_geo,annee,nb_chomeurs,nb_actifs,taux_chomage
59567,2016,25.16765,176.77701,14.24
59147,2016,9.81481,39.25926,25.0
59587,2016,36.05263,247.21805,14.58
59236,2016,15.05747,110.42146,13.64
59632,2016,452.5776,2331.89602,19.41
59623,2016,59.74175,333.55811,17.91
59469,2016,4.9359,192.5,2.56
59643,2016,10.0,110.0,9.09
59354,2016,44.28312,383.49543,11.55
59456,2016,636.84318,2517.75212,25.29
59619,2016,74.46793,492.65906,15.12
59062,2016,15.18405,91.10429,16.67
59131,2016,624.2735,3676.70339,16.98
59249,2016,1501.37291,4806.82713,31.23
59577,2016,25.0,365.0,6.85
59544,2016,789.65264,4968.09238,15.89
59590,2016,60.33149,422.32044,14.29
59576,2016,60.0,840.0,7.14
59019,2016,69.99904,498.1128,14.05
59598,2016,211.43691,1763.51815,11.99
59481,2016,403.92948,2079.892,19.42
59330,2016,60.17817,1118.31097,5.38
59051,2016,440.0,2890.0,15.22
59225,2016,569.63185,2961.65385,19.23
59501,2016,58.46439,541.70852,10.79
59205,2016,1040.0,3755.0,27.7
59377,2016,119.21818,829.55981,14.37
59124,2016,90.0,1250.0,7.2
59343,2016,370.19825,3955.52258,9.36
59146,2016,114.9231,1434.04045,8.01
59239,2016,247.63266,2659.57477,9.31
59507,2016,1439.4998,8930.31374,16.12
59097,2016,44.08629,181.24365,24.32
59221,2016,247.6201,1280.97097,19.33
59399,2016,20.28798,471.69546,4.3
59285,2016,189.7806,1259.5192,15.07
59145,2016,20.05215,350.91265,5.71
59008,2016,1030.00709,4321.4697,23.83
59111,2016,9.88593,192.74488,5.13
59630,2016,165.0,1220.0,13.52
59325,2016,45.0,425.0,10.59
59476,2016,280.17711,1460.92351,19.18
59109,2016,40.43173,334.76282,12.08
59289,2016,105.41341,673.124,15.66
59071,2016,86.11663,1137.91486,7.57
59669,2016,15.05725,286.08779,5.26
59633,2016,14.74403,147.44027,10.0
59419,2016,70.25144,687.46049,10.22
59428,2016,343.74285,1634.83571,21.03
59539,2016,70.0,470.0,14.89
59090,2016,500.0,4120.0,12.14
59659,2016,341.97379,1121.20284,30.5
59400,2016,604.90561,4255.25159,14.22
59479,2016,197.54895,1344.50635,14.69
59409,2016,205.63901,1193.79934,17.23
59043,2016,909.84013,6895.69559,13.19
59445,2016,78.21708,552.25835,14.16
59483,2016,42.68382,90.11029,47.37
59418,2016,173.1054,708.14534,24.44
59371,2016,15.02336,320.49844,4.69
59073,2016,15.0,280.0,5.36
59662,2016,63.6562,651.25191,9.77
59442,2016,25.02533,130.45974,19.18
59511,2016,49.92151,958.49294,5.21
59172,2016,2600.68722,7196.36682,36.14
59213,2016,15.03584,199.52158,7.54
59163,2016,1467.63139,10077.44218,14.56
59084,2016,101.18558,1020.13388,9.92
59142,2016,53.4811,364.6439,14.67
59328,2016,1513.10228,12851.92888,11.77
59246,2016,34.38053,255.39823,13.46
59279,2016,1460.42153,9841.21273,14.84
59196,2016,45.0,580.0,7.76
59128,2016,155.72961,1354.65589,11.5
59332,2016,150.67742,972.44035,15.49
59364,2016,20.53691,376.46943,5.46
59624,2016,171.87647,834.82856,20.59
59369,2016,270.0,1760.0,15.34
59003,2016,5.05405,156.67568,3.23
59119,2016,25.0,245.0,10.2
59005,2016,169.19476,1803.18456,9.38
59259,2016,30.58252,254.85437,12.0
59603,2016,550.0,2770.0,19.86
59416,2016,148.51932,1175.4272,12.64
59077,2016,14.94094,104.58661,14.29
59315,2016,44.54051,411.1728,10.83
59535,2016,105.0,770.0,13.64
59426,2016,489.26723,4711.11232,10.39
59208,2016,5.0,125.0,4.0
59365,2016,946.86416,2553.8562,37.08
59335,2016,81.28551,1346.38961,6.04
59175,2016,15.19108,131.65605,11.54
59615,2016,105.38496,1234.50951,8.54
59429,2016,174.4479,1197.01673,14.57
59395,2016,20.0,140.0,14.29
59218,2016,70.0,580.0,12.07
59132,2016,66.92112,505.28571,13.24
59033,2016,975.17468,3658.03784,26.66
59339,2016,472.23942,4300.93323,10.98
59478,2016,42.74539,540.50924,7.91
59512,2016,11611.255,36520.5665,31.79
59079,2016,761.5865,2792.48385,27.27
59122,2016,3577.78543,14742.06874,24.27
59463,2016,63.99794,492.29188,13.0
59349,2016,175.46199,942.48152,18.62
59584,2016,10.19661,465.60543,2.19
59541,2016,80.0,435.0,18.39
59353,2016,35.0,205.0,17.07
59475,2016,181.35694,1114.87529,16.27
59363,2016,50.0,385.0,12.99
59622,2016,101.09102,597.73927,16.91
59038,2016,106.81661,762.97578,14.0
59136,2016,888.41588,2938.93161,30.23
59286,2016,1054.67294,7076.96027,14.9
59443,2016,10.0,155.0,6.45
59549,2016,19.27871,123.33775,15.63
59282,2016,25.0,190.0,13.16
59572,2016,146.20896,773.29843,18.91
59602,2016,45.0,665.0,6.77
59640,2016,23.97043,391.82567,6.12
59385,2016,289.08542,1188.94396,24.31
59106,2016,20.15626,387.60115,5.2
59059,2016,45.0,235.0,19.15
59021,2016,140.92105,840.49338,16.77
59292,2016,325.0,1315.0,24.71
59253,2016,796.17132,3218.84752,24.73
59001,2016,19.91361,219.04968,9.09
59190,2016,30.21516,448.1916,6.74
59455,2016,55.0555,415.41877,13.25
59566,2016,124.66036,1863.68909,6.69
59548,2016,9.90566,297.16981,3.33
59214,2016,40.46742,496.27613,8.15
59411,2016,70.07337,976.42911,7.18
59612,2016,51.27451,266.62745,19.23
59034,2016,99.59325,1389.93171,7.17
59449,2016,672.57962,4343.7487,15.48
59352,2016,409.04474,3970.57176,10.3
59195,2016,34.60033,311.40294,11.11
59356,2016,79.48152,1063.38187,7.47
59431,2016,433.35007,3461.81953,12.52
59387,2016,98.04492,813.36183,12.05
59448,2016,9.80704,187.70248,5.22
59211,2016,39.44343,448.24887,8.8
59149,2016,70.83333,556.54762,12.73
59592,2016,150.0,1935.0,7.75
59311,2016,44.42935,227.08333,19.57
59374,2016,35.0785,230.81923,15.2
59641,2016,115.0,1080.0,10.65
59451,2016,25.0,290.0,8.62
59207,2016,423.82917,1569.17706,27.01
59206,2016,295.21284,1432.62747,20.61
59251,2016,25.19947,196.55585,12.82
59083,2016,10.0,150.0,6.67
59164,2016,10.15504,142.17054,7.14
59394,2016,48.80955,211.91574,23.03
59477,2016,227.62812,2008.23615,11.33
59305,2016,70.0,805.0,8.7
59497,2016,74.95267,962.18126,7.79
59276,2016,470.0,1867.0,25.17
59403,2016,25.0,350.0,7.14
59105,2016,55.17915,727.36156,7.59
59004,2016,24.28279,631.35246,3.85
59096,2016,65.90442,841.5487,7.83
59177,2016,25.32201,344.37939,7.35
59583,2016,30.36351,235.39266,12.9
59591,2016,135.95745,402.83688,33.75
59037,2016,374.3364,1662.05363,22.52
59192,2016,35.0052,364.59444,9.6
59189,2016,54.66944,607.17668,9.0
59634,2016,40.69051,391.64612,10.39
59290,2016,15.1928,151.92802,10.0
59264,2016,57.0122,352.43902,16.18
59152,2016,759.92082,5684.83164,13.37
59470,2016,75.0,1020.0,7.35
59308,2016,31.17519,493.60718,6.32
59372,2016,31.0303,201.69697,15.38
59118,2016,254.33868,1048.08162,24.27
59088,2016,81.10429,808.37237,10.03
59237,2016,35.07202,460.9465,7.61
59220,2016,1235.21822,8037.77203,15.37
59317,2016,414.06344,3745.23294,11.06
59039,2016,46.49828,470.14929,9.89
59261,2016,165.08135,707.6661,23.33
59652,2016,13.98496,167.81955,8.33
59313,2016,95.0,645.0,14.73
59069,2016,46.00737,407.08508,11.3
59102,2016,44.20797,224.76589,19.67
59457,2016,452.11231,3955.18089,11.43
59260,2016,219.94644,1939.52767,11.34
59366,2016,5.05482,398.61695,1.27
59359,2016,411.03098,2814.05351,14.61
59056,2016,30.07102,395.93507,7.59
59023,2016,31.26861,228.09163,13.71
59137,2016,70.30381,346.26762,20.3
59620,2016,35.0,290.0,12.07
59334,2016,73.17364,710.82967,10.29
59180,2016,54.4046,712.20568,7.64
59345,2016,217.27177,1011.96017,21.47
59268,2016,326.09066,2680.12601,12.17
59494,2016,14.74432,83.55114,17.65
59209,2016,39.59607,286.81906,13.81
59424,2016,126.22734,545.30211,23.15
59022,2016,110.14685,1141.52189,9.65
59075,2016,40.0,355.0,11.27
59595,2016,25.11258,220.99073,11.36
59314,2016,260.0,1545.0,16.83
59110,2016,55.0,660.0,8.33
59047,2016,29.56055,137.94922,21.43
59049,2016,39.90601,176.96381,22.55
59013,2016,30.0,700.0,4.29
59150,2016,25.0,270.0,9.26
59032,2016,636.28808,3237.40758,19.65
59597,2016,32.63987,275.10748,11.86
59216,2016,9.94318,178.97727,5.56
59016,2016,83.82027,1036.50668,8.09
59505,2016,35.0,370.0,9.46
59320,2016,85.67734,852.01355,10.06
59574,2016,1201.53476,5283.15852,22.74
59396,2016,30.0,295.0,10.17
59461,2016,35.0,150.0,23.33
59554,2016,5.14962,282.80798,1.82
59518,2016,14.63333,224.37778,6.52
59066,2016,10.06757,55.37162,18.18
59117,2016,62.66505,448.29612,13.98
59230,2016,541.34431,2280.65109,23.74
59552,2016,5.0,110.0,4.55
59398,2016,125.41185,1540.02829,8.14
59430,2016,91.30577,485.91318,18.79
59293,2016,58.74823,720.3028,8.16
59594,2016,99.51996,518.71898,19.19
59565,2016,51.45482,319.01991,16.13
59139,2016,1803.99039,6370.91746,28.32
59389,2016,193.14115,1153.89457,16.74
59274,2016,40.66528,208.40956,19.51
59600,2016,26.64223,490.12658,5.44
59141,2016,30.42105,304.21053,10.0
59351,2016,35.07707,264.445,13.26
59184,2016,16.00117,325.13974,4.92
59482,2016,301.06105,3301.40627,9.12
59121,2016,20.89475,297.9029,7.01
59318,2016,20.46843,527.06212,3.88
59011,2016,620.0,4870.0,12.73
59333,2016,20.72864,114.00752,18.18
59459,2016,386.30646,2273.78877,16.99
59165,2016,470.0,2680.0,17.54
59665,2016,4.93311,133.19398,3.7
59101,2016,24.91314,203.34077,12.25
59427,2016,10.12384,283.46749,3.57
59322,2016,297.70549,1533.78195,19.41
59010,2016,19.92857,142.48929,13.99
59081,2016,35.0,270.0,12.96
59048,2016,20.0,170.0,11.76
59113,2016,77.65568,601.8315,12.9
59558,2016,80.6567,866.91099,9.3
59370,2016,64.19992,373.21479,17.2
59638,2016,35.0,560.0,6.25
59531,2016,19.82405,143.72434,13.79
59316,2016,180.36667,1758.03389,10.26
59378,2016,2193.77332,18125.63306,12.1
59568,2016,5.03103,226.49831,2.22
59488,2016,213.90486,1027.2974,20.82
59532,2016,20.0,180.0,11.11
59490,2016,10.0,75.0,13.33
59068,2016,233.55513,1205.12165,19.38
59626,2016,69.12226,577.66458,11.97
59586,2016,239.75549,2810.0194,8.53
59321,2016,60.2587,316.25425,19.05
59085,2016,28.69702,153.69499,18.67
59025,2016,45.0,730.0,6.16
59657,2016,38.59873,318.43949,12.12
59045,2016,14.82036,93.86228,15.79
59112,2016,1208.03175,4751.29403,25.43
59157,2016,213.58789,1044.27359,20.45
59390,2016,488.65862,1680.95652,29.07
59487,2016,44.98242,638.28851,7.05
59616,2016,878.1316,4335.80818,20.25
59135,2016,111.37668,1052.62064,10.58
59053,2016,308.84499,1483.30721,20.82
59187,2016,10.34573,144.80354,7.14
59144,2016,30.69686,398.82695,7.7
59012,2016,289.15994,1293.61025,22.35
59188,2016,5.21898,67.84672,7.69
59605,2016,70.0,710.0,9.86
59458,2016,25.10483,472.59703,5.31
59283,2016,9.95074,278.62069,3.57
59138,2016,40.1791,301.34328,13.33
59642,2016,29.53368,275.64767,10.71
59502,2016,117.56519,603.16056,19.49
59263,2016,19.6583,430.68967,4.56
59433,2016,25.37511,355.25158,7.14
59288,2016,170.31428,1004.71118,16.95
59639,2016,49.14414,555.32883,8.85
59280,2016,53.95965,338.47415,15.94
59200,2016,35.0,205.0,17.07
59294,2016,9.92079,153.32447,6.47
59556,2016,20.1776,113.5185,17.77
59191,2016,45.21635,306.46635,14.75
59182,2016,20.0,120.0,16.67
59516,2016,45.0,490.0,9.18
59094,2016,595.0,3090.0,19.26
59432,2016,10.0,270.0,3.7
59247,2016,78.81566,660.08118,11.94
59537,2016,25.4902,234.5098,10.87
59074,2016,155.0,920.0,16.85
59155,2016,1637.06156,9459.97582,17.31
59562,2016,15.0,265.0,5.66
59017,2016,2182.99746,10999.36891,19.85
59158,2016,104.54711,1493.53019,7.0
59609,2016,56.49306,847.39583,6.67
59226,2016,40.45219,670.29925,6.03
59435,2016,107.96777,1251.44458,8.63
59391,2016,53.49487,384.19042,13.92
59348,2016,84.17296,584.26038,14.41
59127,2016,9.68944,92.04969,10.53
59082,2016,114.1207,888.15674,12.85
59523,2016,102.20772,1163.35356,8.79
59464,2016,204.62282,958.24287,21.35
59571,2016,502.91034,1833.69729,27.43
59108,2016,55.0,330.0,16.67
59453,2016,24.93944,299.58208,8.32
59284,2016,240.0,1930.0,12.44
59534,2016,49.1528,368.64599,13.33
59057,2016,10.0,245.0,4.08
59368,2016,1506.04521,11508.52769,13.09
59307,2016,45.0,420.0,10.71
59529,2016,10.22284,173.7883,5.88
59596,2016,30.0,295.0,10.17
59498,2016,34.81457,163.50235,21.29
59168,2016,193.51123,2472.63308,7.83
59648,2016,1053.85873,6481.05275,16.26
59347,2016,39.62612,252.61652,15.69
59312,2016,95.77652,341.94781,28.01
59545,2016,128.98844,557.11488,23.15
59329,2016,347.59301,2163.68914,16.06
59255,2016,30.0,234.0,12.82
59618,2016,64.56204,415.28116,15.55
59265,2016,113.84564,1168.20468,9.75
59297,2016,105.0,920.0,11.41
59061,2016,10.46132,107.16532,9.76
59660,2016,120.0,1315.0,9.13
59091,2016,10.39655,301.5,3.45
59287,2016,5.10101,86.71717,5.88
59240,2016,4.8855,48.85496,10.0
59599,2016,10553.74776,44261.40619,23.84
59436,2016,40.05076,395.50127,10.13
59336,2016,115.0,595.0,19.33
59115,2016,50.0,305.0,16.39
59269,2016,120.21666,674.25863,17.83
59564,2016,295.80824,1368.39313,21.62
59167,2016,4.92537,118.20896,4.17
59421,2016,666.55282,5946.78439,11.21
59162,2016,25.15038,342.04511,7.35
59076,2016,19.75554,176.19927,11.21
59375,2016,271.40467,2193.07491,12.38
59273,2016,822.91193,5220.67229,15.76
59408,2016,49.1862,693.52539,7.09
59388,2016,99.05956,995.54859,9.95
59402,2016,34.8278,348.27798,10.0
59089,2016,85.13617,588.20428,14.47
59125,2016,14.81343,207.38806,7.14
59538,2016,36.27284,190.42504,19.05
59304,2016,30.0,200.0,15.0
59278,2016,300.0,2140.0,14.02
59606,2016,4247.94513,19433.50762,21.86
59181,2016,36.95848,290.38809,12.73
59015,2016,222.17535,1422.10903,15.62
59035,2016,198.75722,1005.78781,19.76
59024,2016,331.55079,1861.4123,17.81
59341,2016,9.80604,227.81296,4.3
59159,2016,26.29438,341.82692,7.69
59555,2016,131.83395,629.33067,20.95
59361,2016,550.0,1400.0,39.29
59151,2016,140.0,745.0,18.79
59238,2016,115.90984,796.25019,14.56
59306,2016,28.88405,143.94529,20.07
59360,2016,1920.01913,10408.17614,18.45
59156,2016,185.25738,1142.40413,16.22
59613,2016,66.33855,658.26649,10.08
59148,2016,36.22904,179.46334,20.19
59650,2016,3730.59195,18823.77902,19.82
59299,2016,1425.08181,8145.47647,17.5
59267,2016,30.0,130.0,23.08
59346,2016,117.99,1502.83,7.85
59291,2016,1890.05376,5708.06036,33.11
59656,2016,400.17285,2484.69428,16.11
59153,2016,1115.90502,3553.70264,31.4
59397,2016,20.08938,290.95606,6.9
59120,2016,93.8775,993.1251,9.45
